date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:25	47634/47634	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:35:12%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/indexb8bd.html	(from )
08:58:26	141/141	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20May%202025%2001:58:28%20GMT	https://htmldesigntemplates.com/robots.txt		(from )
08:58:27	23622/23622	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2006:33:10%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/images/favicon.png	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/images/favicon.png	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:27	194900/194900	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202022%2006:24:21%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/css/bootstrap.min.css	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/css/bootstrap.min.css	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:27	16357/16357	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202022%2006:24:22%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/css/default.css	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/css/default.css	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:27	115874/115874	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202022%2006:24:25%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/css/style.css	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/css/style.css	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:28	128767/128767	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202022%2006:24:24%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/css/plugin.css	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/css/plugin.css	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:29	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	F:/bookingHotel1/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:29	56842/56842	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-de0a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	F:/bookingHotel1/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:29	47634/47634	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:35:12%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/index.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
